rank,batch,priority,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,diagnostic_goal,rationale
1,A_downjump_T2_low,P0,two_step,90,300,70,300,600,T2_low_downjump,"T2 50-70 bin has T2 MAE 29 C and zero posterior T2 coverage; add controlled down-jump near existing 90->80 series."
2,A_downjump_T2_low,P0,two_step,90,900,70,300,1200,T1_time_disambiguation,"Same temperatures as rank 1 with longer first hold to separate T1-time from T2-time compensation."
3,A_downjump_T2_low,P0,two_step,90,300,60,900,1200,T2_low_long_second_step,"Low T2 with long second hold tests whether low-temperature path remains indistinguishable from high-T short-time recovery."
4,A_downjump_T2_low,P0,two_step,100,100,70,900,1000,T2_low_high_T1_anchor,"High T1 to low T2 down-jump directly targets the worst T2-low posterior miss."
5,A_downjump_T2_low,P0,two_step,100,300,60,300,600,T2_low_high_T1_anchor,"Shorter matched-time high-T1/low-T2 point to reduce extrapolation around strong down-jumps."
6,A_downjump_T2_low,P0,two_step,85,600,65,300,900,mid_downjump_bridge,"Bridge between existing 80/90 data and missing 65 C second-step region."
7,A_downjump_T2_low,P0,two_step,80,900,60,600,1500,low_T2_time_bridge,"Extends low T2 coverage while staying within 1800 s per step."
8,A_downjump_T2_low,P0,two_step,75,900,60,900,1800,low_mid_T1_downjump,"Adds the missing 65-75 T1 interval with a low-T2 down-jump."
9,B_mid_T1_gap,P0,two_step,65,300,85,300,600,mid_T1_upjump,"65-75 T1 bin has only 5 samples and top-k near-match is zero; add balanced mid-T1 up-jump."
10,B_mid_T1_gap,P0,two_step,65,900,85,300,1200,T1_time_disambiguation,"Same temperature path as rank 9 with longer first hold for time identifiability."
11,B_mid_T1_gap,P0,two_step,70,300,85,900,1200,T2_time_disambiguation,"Same mid-T1 region with longer second hold to distinguish t2 from T2 effects."
12,B_mid_T1_gap,P1,two_step,75,300,95,300,600,mid_T1_high_T2_bridge,"Connects under-sampled 65-75 T1 interval to better-constrained T2 95-100 region."
13,B_mid_T1_gap,P1,two_step,70,900,100,100,1000,high_T2_short_second_step,"Tests whether high T2 can be inferred when second hold is short."
14,B_mid_T1_gap,P1,two_step,65,1800,95,60,1860,long_first_short_second,"High posterior t1 coverage but poor point estimates suggest testing long-first/short-second degeneracy."
15,C_time_identifiability,P1,two_step,50,300,80,300,600,low_T1_balanced_time,"Complements existing 50 C mostly t1=10 data with a longer first hold."
16,C_time_identifiability,P1,two_step,55,900,80,300,1200,low_T1_time_disambiguation,"Low T1 interval has high t1 factor error; add longer first hold at nearby T1."
17,C_time_identifiability,P1,two_step,60,300,90,600,900,low_T1_high_T2_time,"Adds 60 C first-step coverage and intermediate/high T2 path."
18,C_time_identifiability,P1,two_step,60,900,90,100,1000,long_first_short_second,"Matched path to rank 17 with swapped time emphasis."
19,D_high_T2_identifiability,P1,two_step,90,300,100,100,400,high_T2_anchor,"T2 95-100 is well constrained; use as a high-confidence anchor for model calibration."
20,D_high_T2_identifiability,P1,two_step,80,300,100,100,400,high_T2_EIG_anchor,"High-EIG two-step anchor from current model ranking; helps compare inverse and EIG criteria."
21,E_single_step_controls,P2,single_step,60,900,,,900,single_step_low_mid_anchor,"Single-step anchor for low/mid T1 recovery baseline."
22,E_single_step_controls,P2,single_step,75,900,,,900,single_step_mid_anchor,"Single-step anchor for 65-75 C interval where inverse performance is weak."
23,E_single_step_controls,P2,single_step,90,1800,,,1800,single_step_high_uncertainty_anchor,"High-uncertainty EIG single-step anchor."
24,E_single_step_controls,P2,single_step,95,10,,,10,single_step_short_high_T_anchor,"Short high-temperature single-step anchor from EIG ranking."
